State,District,Population,Males,Females,Growth from1991 to 2001.,Number.of.households,Household.size..per.household.,Sex ratio of females per 1000 males,Sex ratio for age 0-6 years,Percentage.to.total.population..ST.,Religion1.Name,Religion1.Population,Religion2.Name,Religion2.Population,Religion3.Name,Religion3.Population,Population literacy,Male Literacy,Female Literacy,Population Literacy Rate,Male Literacy Rate,Female Literacy Rate,Total People Educated,Data.without.level,Below Primary School,Primary School,Middle School,Population completed 10th Grade,Population Graduates,Age from 0-4 years,Age from 5-14 years,Age from 15-59 years,Age 60 and above,Total Workers,Main.workers,Marginal.workers,Non.workers,Total Inhabited Villages,Drinking water facilities,Safe Drinking water,Electricity Power Supply,Primary school,Middle schools,Secondary Senior schools,PermanentHouse,Semi permanent House,Temporary House
Andhra,"District Andamans (01), Andaman & Nicobar Islands (35)",314084,170319,143765,30.14,70167,4,844,959,0.92,Hindus,235862,Christians,49033,Muslims,27134,226600,131223,95377,82.49,87.36,76.62,226600,1623,48339,62233,49731,50748,13909,27505,64496,204928,17155,116631,100683,15948,197453,331,331,293,233,185,83,71,28.7,39.1,32
Andhra,"District Nicobars (02), Andaman & Nicobar Islands (35)",42068,22653,19415,7.19,8075,5,857,936,63.15,Christians,28145,Hindus,10727,Muslims,2131,26535,15608,10927,72.35,78.55,65.01,26535,346,5062,8544,6439,5150,994,3736,8307,27535,2490,19623,12924,6699,22445,170,169,163,96,53,25,22,28,33.3,38.7
Andhra,"District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,19.06,524649,5,989,962,16.74,NA,2207843,NA,236844,NA,24392,1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,1586,1585,1580,1585,1521,429,196,53,39.9,7
Andhra,"District Nizamabad (02), Andhra Pradesh (28)",2345685,1162905,1182780,14.98,484588,5,1017,958,7.07,Hindus,1983275,Muslims,338824,Christians,16204,1044788,642996,401792,52.02,64.91,39.48,1044788,43604,288554,304556,106517,249549,51926,216402,567129,1382370,179784,1159606,971911,187695,1186079,854,854,854,854,839,417,256,52.8,37.6,9.6
Andhra,"District Karimnagar (03), Andhra Pradesh (28)",3491822,1747968,1743854,14.47,813797,4,998,961,2.6,Hindus,3251834,Muslims,213811,Christians,20576,1661089,1013328,647761,54.9,67.09,42.75,1661089,57595,445208,478883,189226,409110,81001,302570,796148,2077569,315535,1711559,1458954,252605,1780263,1047,1047,1046,1047,1039,668,391,55.8,36.4,7.8
Andhra,"District Medak (04), Andhra Pradesh (28)",2670097,1352446,1317651,17.29,521018,5,974,964,5.04,Hindus,2334169,Muslims,296486,Christians,34651,1171134,738208,432926,51.65,64.33,38.66,1171134,56841,339163,322529,118592,282352,51608,255985,677807,1523368,212937,1293657,1060051,233606,1376440,1225,1225,1225,1225,1215,555,274,49.3,42.6,8.1
Andhra,"District Hyderabad (05), Andhra Pradesh (28)",3829753,1981173,1848580,17.18,695906,6,933,942,0.9,Hindus,2121963,Muslims,1576583,Christians,92915,2634949,1449602,1185347,78.8,83.74,73.5,2634949,104630,347414,561772,244588,909398,466744,319253,864415,2401792,244293,1119842,1032298,87544,2709911,NA,NA,NA,NA,NA,NA,NA,86,11.9,2
Andhra,"District Rangareddi (06), Andhra Pradesh (28)",3575064,1839227,1735837,37.41,742590,5,944,959,4.09,Hindus,3063118,Muslims,408281,Christians,89893,2034381,1192100,842281,66.16,75.26,56.49,2034381,78742,404250,489521,193364,607300,260503,324169,842909,2173360,234626,1437606,1264403,173203,2137458,860,860,860,858,839,405,238,78.6,18.2,3.1
Andhra,"District Mahbubnagar (07), Andhra Pradesh (28)",3513934,1782340,1731594,13.97,688212,5,972,951,7.93,Hindus,3193932,Muslims,296975,Christians,18800,1317521,850414,467107,44.41,56.63,31.89,1317521,66105,371893,353924,128269,329607,67575,345446,937792,1969070,261626,1823329,1482426,340903,1690605,1477,1475,1468,1477,1456,658,335,39.9,34.7,25.4
Andhra,"District Nalgonda (08), Andhra Pradesh (28)",3247982,1651990,1595992,13.55,723015,4,966,951,10.55,Hindus,3040212,Muslims,170553,Christians,32452,1595643,981875,613768,57.15,69.23,44.68,1595643,67688,474835,439802,175590,352049,85612,295103,801673,1876515,274691,1594666,1308907,285759,1653316,1124,1124,1124,1124,1098,599,367,50.1,26.9,23
Andhra,"District Warangal (09), Andhra Pradesh (28)",3246004,1644895,1601109,14.63,729110,4,973,955,14.1,Hindus,3028537,Muslims,177217,Christians,33354,1595745,973527,622218,57.13,68.88,45.09,1595745,62694,428105,418774,174537,411463,99917,288972,776786,1898639,281607,1566237,1277468,288769,1679767,984,984,984,984,971,587,340,49.9,32.8,17.2
Andhra,"District Khammam (10), Andhra Pradesh (28)",2578927,1305543,1273384,15.78,601659,4,975,970,26.47,Hindus,2406066,Muslims,137639,Christians,30777,1267944,745679,522265,56.89,66.11,47.44,1267944,40606,362116,377075,139285,275834,72950,231625,618242,1533620,195440,1244376,1039322,205054,1334551,1101,1100,1090,1100,1000,417,253,46.4,12.5,41.1
Andhra,"District Srikakulam (11), Andhra Pradesh (28)",2537593,1260020,1277573,8.93,582377,4,1014,967,5.96,Hindus,2513087,Christians,14199,Muslims,7759,1217659,731778,485881,55.31,67.19,43.68,1217659,59831,314768,406889,140816,236099,59134,226342,588640,1522214,200397,1201816,870624,331192,1335777,1715,1715,1713,1715,1645,511,273,47.8,8.7,43.5
Andhra,"District Vizianagaram (12), Andhra Pradesh (28)",2249254,1119541,1129713,6.36,514912,4,1009,979,9.55,Hindus,2214541,Christians,15495,Muslims,15472,997482,605038,392444,51.07,62.37,39.91,997482,41776,256539,345163,107395,191992,54462,198760,502372,1378957,169165,1174164,912375,261789,1075090,1455,1453,1374,1455,1371,352,194,49.9,5.2,45
Andhra,"District Visakhapatnam (13), Andhra Pradesh (28)",3832336,1930197,1902139,15.36,887003,4,985,976,14.55,Hindus,3688280,Muslims,71669,Christians,62227,2002316,1171082,831234,59.96,69.68,50.12,2002316,75488,417446,577938,211419,535115,184767,324433,850611,2411639,245653,1602761,1305584,297177,2229575,3108,3091,1746,3098,2293,423,241,58.8,11.1,30.2
Andhra,"District West Godavari (15), Andhra Pradesh (28)",3803517,1910038,1893479,7.92,947276,4,991,969,2.54,Hindus,3580207,Christians,138363,Muslims,79048,2458822,1308598,1150224,73.53,78.05,68.99,2458822,76849,715101,867078,239220,438313,122202,310484,829811,2358503,304719,1678335,1425708,252627,2125182,845,844,843,845,805,425,311,54,11.3,34.7
Andhra,"District Krishna (16), Andhra Pradesh (28)",4187841,2117401,2070440,14.05,1011891,4,978,963,2.57,Hindus,3729204,Muslims,265617,Christians,182614,2539974,1386261,1153713,68.85,74.39,63.19,2539974,76918,603868,807042,269230,605480,177102,333263,903289,2618300,332989,1841597,1575433,266164,2346244,948,948,944,948,931,482,281,50.8,11.5,37.7
Andhra,"District Guntur (17), Andhra Pradesh (28)",4465144,2250279,2214865,7.27,1077303,4,984,959,4.66,Hindus,3834204,Muslims,487839,Christians,131713,2455965,1407402,1048563,62.54,71.24,53.74,2455965,94688,579683,804976,241137,559524,175832,357400,954636,2756023,397085,2190299,1869886,320413,2274845,694,694,693,694,690,423,337,53.4,15.2,31.4
Andhra,"District Prakasam (18), Andhra Pradesh (28)",3059423,1552332,1507091,10.72,702559,4,971,954,3.86,Hindus,2825681,Muslims,195637,Christians,32674,1532126,938482,593644,57.38,69.35,45.08,1532126,49645,391396,512915,143921,341687,92527,259093,689994,1833665,276671,1537544,1306772,230772,1521879,992,992,991,992,941,417,318,59.8,16.4,23.8
Andhra,"District Nellore (19), Andhra Pradesh (28)",2668564,1344935,1323629,11.18,640942,4,984,954,9.08,Hindus,2382701,Muslims,248676,Christians,31593,1522866,866975,655891,65.08,73.67,56.38,1522866,73132,375380,515113,149694,316461,93056,223622,562645,1663646,218651,1211702,985312,226390,1456862,1110,1110,1099,1110,1053,397,266,57.3,10.5,32.2
Andhra,"District Cuddapah (20), Andhra Pradesh (28)",2601797,1318093,1283704,13.48,585987,4,974,950,2.36,Hindus,2181572,Muslims,386900,Christians,28978,1420752,867054,553698,62.83,75.83,49.54,1420752,61409,315821,482912,145747,323102,91650,225438,586524,1579759,210076,1165566,931847,233719,1436231,876,875,873,875,853,342,245,50.1,28.6,21.2
Andhra,"District Kurnool (21), Andhra Pradesh (28)",3529494,1796214,1733280,18.14,699191,5,965,958,1.97,Hindus,2910182,Muslims,572404,Christians,40581,1592172,1003659,588513,53.22,65.96,40.03,1592172,64483,396608,526192,139903,363649,101204,343493,936793,2015569,233639,1745220,1500598,244622,1784274,884,884,884,884,877,398,224,32,51.8,16.2
Andhra,"District Anantapur (22), Andhra Pradesh (28)",3640478,1859588,1780890,14.31,779052,5,958,958,3.49,Hindus,3225156,Muslims,389201,Christians,20770,1774088,1104042,670046,56.13,68.38,43.34,1774088,46809,398372,667978,177709,380349,102827,311720,878170,2175541,275047,1777536,1471218,306318,1862942,925,925,925,925,900,406,291,55.2,30.7,13.8
Andhra,"District Chittoor (23), Andhra Pradesh (28)",3745875,1889690,1856185,14.54,848607,4,982,954,3.42,Hindus,3368878,Muslims,342965,Christians,28337,2176990,1273940,903050,66.77,77.62,55.78,2176990,78776,484531,769687,240584,466832,136183,334295,791554,2287032,332994,1752979,1462690,290289,1992896,1480,1479,1478,1480,1365,597,346,58.6,8.1,33.3
ArunachalPradesh,"District Tawang (01), Arunachal Pradesh (12)",38924,21846,17078,22.69,8294,5,782,948,74.99,Buddhists,29083,Hindus,8440,Sikhs,420,15337,11160,4177,47.32,60.32,30.04,15337,496,3835,3146,2535,4535,785,4416,9106,22814,2588,21727,18134,3593,17197,180,180,159,173,63,13,2,51.1,36.8,12.1
ArunachalPradesh,"District West Kameng (02), Arunachal Pradesh (12)",74599,42542,32057,32.21,15637,5,754,955,49.53,Buddhists,33104,Hindus,32125,Others,4750,37687,25386,12301,60.76,70.29,47.46,37687,833,10517,8778,5725,9725,2108,8570,18755,44149,3125,34362,28850,5512,40237,213,213,211,168,97,22,11,32.7,33.8,33.4
ArunachalPradesh,"District East Kameng (03), Arunachal Pradesh (12)",57179,28802,28377,13.24,12018,5,985,1035,86.72,Others,31538,Christians,14550,Hindus,9943,18338,11978,6360,40.64,52.36,28.59,18338,290,6995,4524,2962,2783,783,8003,16633,30280,2263,25949,23543,2406,31230,310,309,284,44,128,34,6,10.7,26,63.4
ArunachalPradesh,"District Papum Pare * (04), Arunachal Pradesh (12)",122003,64184,57819,67.21,24636,5,901,977,56.56,Hindus,51026,Christians,36574,Others,25395,69982,41367,28615,69.32,77.27,60.35,69982,1189,15664,15056,11464,19892,6715,14134,34120,70794,2955,44132,38401,5731,77871,267,267,215,60,69,25,8,41.1,31.6,27.3
ArunachalPradesh,"District Lower Subansiri (05), Arunachal Pradesh (12)",98244,49542,48702,17.37,19456,5,983,1004,90.09,Others,62481,Christians,24078,Hindus,10493,35933,21647,14286,44.79,53.37,36.01,35933,1292,10147,9338,6443,7104,1605,11707,28668,53748,4121,45405,37473,7932,52839,652,652,383,175,147,75,22,15.6,21.1,63.3
ArunachalPradesh,"District Upper Subansiri (06), Arunachal Pradesh (12)",55346,28240,27106,9.8,10862,5,960,984,89.53,Others,45318,Hindus,5572,Christians,3240,22379,13547,8832,50.35,59.55,40.7,22379,236,7953,6037,3525,3732,896,7344,16233,29443,2326,22415,21067,1348,32931,398,398,252,77,141,33,10,11.1,8.1,80.4
ArunachalPradesh,"District West Siang (07), Arunachal Pradesh (12)",103918,54349,49569,15.17,18251,6,912,949,81.72,Others,61183,Christians,20122,Hindus,17711,51216,30128,21088,59.47,66.63,51.56,51216,1052,16056,14264,8677,8702,2463,11446,30937,56121,5414,43085,36843,6242,60833,398,398,348,115,221,66,19,15.3,9.2,75.5
ArunachalPradesh,"District East Siang (08), Arunachal Pradesh (12)",87397,45265,42132,21.66,16133,5,931,957,69.13,Others,43944,Hindus,26352,Christians,13406,43495,25455,18040,60.73,68.42,52.42,43495,634,11850,12096,7375,8782,2758,10521,24270,47818,4788,33552,29183,4369,53845,144,144,141,120,116,31,18,19.1,10,70.4
ArunachalPradesh,"District Upper Siang * (09), Arunachal Pradesh (12)",33363,18057,15306,19.32,6849,5,848,1010,78.21,Others,19477,Hindus,6116,Christians,4291,13424,8733,4691,49.78,58.71,38.79,13424,234,3821,3744,2481,2497,631,4364,8367,18019,2613,17105,15395,1710,16258,92,92,82,42,62,15,9,15.9,20.7,63.4
ArunachalPradesh,"District Dibang Valley (10), Arunachal Pradesh (12)",57720,31442,26278,33.61,11932,5,836,945,46.49,Hindus,31700,Others,13992,Christians,6134,27854,17533,10321,58.89,67.21,48.66,27854,399,8928,7395,4581,5211,1339,6986,16201,32157,2376,25700,22086,3614,32020,213,213,177,70,55,24,12,13.4,21.3,65.1
ArunachalPradesh,"District Lohit (11), Arunachal Pradesh (12)",143527,77314,66213,30.78,28537,5,856,933,38.18,Hindus,103151,Buddhists,22935,Christians,8253,64445,41102,23343,56.07,65.74,44.54,64445,981,21909,17174,11292,10511,2576,19439,39591,78127,6370,60351,51049,9302,83176,493,493,475,184,160,36,15,15.8,10.8,73.3
ArunachalPradesh,"District Changlang (12), Arunachal Pradesh (12)",125422,65821,59601,30.84,24012,5,906,954,36.16,Hindus,50183,Buddhists,42744,Christians,21931,51291,32789,18502,51.32,62.13,39.23,51291,1311,18470,13700,8179,7679,1952,17342,34197,67584,6299,60045,49176,10869,65377,336,336,307,277,179,47,25,14.9,11.1,73.9
ArunachalPradesh,"District Tirap (13), Arunachal Pradesh (12)",100326,52537,47789,17.21,18957,5,910,941,83.67,Christians,50199,Hindus,27123,Others,14568,33404,22456,10948,41.73,53.36,28.84,33404,399,12592,8387,5230,5360,1436,13571,27904,53063,5788,49074,43807,5267,51252,167,167,151,147,137,32,8,12.9,7.5,79.5
Assam,"District Kokrajhar (01), Assam (18)",905764,466191,439573,15.05,168619,5,943,947,33.67,NA,594168,NA,184441,NA,124270,383541,230769,152772,51.63,60.32,42.4,383541,11179,123002,97692,63583,76399,11591,107419,253840,497450,47055,334849,234771,100078,570915,951,951,949,704,906,354,118,12.1,35.5,52.4
Assam,"District Dhubri (02), Assam (18)",1637344,841044,796300,23.42,297121,6,947,965,1.99,NA,1216455,NA,405065,NA,12477,625369,373446,251923,48.21,55.91,40.04,625369,13946,228580,152632,105492,101129,23131,233963,464173,848258,90950,470360,399201,71159,1166984,1261,1261,1247,904,1138,612,205,12.1,50.5,37.4
Assam,"District Goalpara (03), Assam (18)",822035,420251,401784,23.07,146826,6,956,974,16.03,NA,441516,NA,314157,NA,64662,384670,220277,164393,58.03,64.86,50.85,384670,7548,145790,92621,67036,60309,10964,108415,230617,437701,45302,273925,209928,63997,548110,761,761,759,689,723,311,130,13.2,36.2,50.5
Assam,"District Bongaigaon (04), Assam (18)",904835,465240,439595,12.23,168556,5,945,972,12.23,Hindus,535464,Muslims,348573,Christians,18728,439861,258761,181100,59.33,67.67,50.44,439861,7842,142193,106878,81738,84500,16694,111651,243945,496713,52526,293243,233087,60156,611592,881,881,876,607,805,340,138,17.7,39,43.3
Assam,"District Barpeta (05), Assam (18)",1647201,848578,798623,18.53,290494,6,941,960,7.48,NA,977943,NA,662066,NA,5267,752682,448021,304661,56.24,64.83,47.07,752682,17763,241853,162333,132818,164157,33386,209571,450596,881878,105156,517088,408537,108551,1130113,1050,1050,1045,775,967,603,320,12.9,33.1,54
Assam,"District Kamrup (06), Assam (18)",2522324,1326981,1195343,25.75,490740,5,901,957,9.93,Hindus,1836153,Muslims,625002,Christians,44257,1608191,930256,677935,74.16,81.16,66.31,1608191,28042,355779,312309,275453,466555,169680,237213,595306,1542431,147374,842253,697810,144443,1680071,1342,1342,1311,1042,1190,592,286,33,35.1,31.9
Assam,"District Nalbari (07), Assam (18)",1148824,592375,556449,11.98,202708,6,939,958,17.63,Hindus,873749,Muslims,253842,Christians,18495,657925,387002,270923,67.23,76.56,57.26,657925,14188,178933,138882,121336,174317,30251,113198,287948,671362,76316,383932,291665,92267,764892,798,798,796,733,769,481,226,15.5,30.7,53.8
Assam,"District Darrang (08), Assam (18)",1504320,773861,730459,15.79,271841,6,944,975,16.61,NA,868532,NA,534658,NA,97306,684998,407632,277366,55.44,63.91,46.4,684998,25329,214363,155853,127004,139276,23154,183605,390243,840655,89817,527993,404428,123565,976327,1319,1319,1280,1032,1246,457,196,13.7,23.2,63.1
Assam,"District Marigaon (09), Assam (18)",776256,398926,377330,21.29,133458,6,946,965,15.55,Hindus,405302,Muslims,369398,Christians,759,367292,210586,156706,58.53,65.15,51.51,367292,7934,121385,89100,67786,69749,11307,100556,214797,414807,46096,262824,200132,62692,513432,592,592,592,389,531,255,104,10.7,24,65.3
Assam,"District Nagaon (10), Assam (18)",2314629,1190950,1123679,22.3,410882,6,944,975,3.86,NA,1180267,NA,1106354,NA,21473,1165617,665697,499920,61.73,68.27,54.74,1165617,21941,369818,288125,212668,226919,45957,290961,618901,1255658,149109,727641,566195,161446,1586988,1375,1374,1369,1190,1257,680,309,16.3,26.1,57.5
Assam,"District Sonitpur (11), Assam (18)",1681513,871568,809945,17.8,315116,5,929,973,11.6,NA,1287646,NA,268078,NA,115623,830579,494965,335614,59,67.54,49.73,830579,18082,255139,204000,144886,172379,36083,185036,433724,967533,95220,634723,465283,169440,1046790,1784,1784,1772,1331,1372,405,172,23.4,23.9,52.7
Assam,"District Lakhimpur (12), Assam (18)",889010,455691,433319,18.34,157167,6,951,966,23.49,NA,702881,NA,143505,NA,36667,506433,292261,214172,68.56,77.06,59.59,506433,9552,134273,101435,103794,135467,21888,100313,236087,500876,51734,497745,288052,209693,391265,1139,1139,1136,680,1046,697,265,15.9,30.2,53.9
Assam,"District Dhemaji (13), Assam (18)",571944,294643,277301,18.93,96949,6,941,970,47.29,Hindus,548780,Muslims,10533,Christians,6390,304606,181645,122961,64.48,74.41,53.86,304606,7541,80592,62969,57868,85106,10527,65179,161903,313682,31180,250146,155431,94715,321798,1236,1236,1235,253,1068,505,172,5.8,16.7,77.5
Assam,"District Tinsukia (14), Assam (18)",1150062,601099,548963,19.52,218885,5,913,957,5.85,NA,1029142,NA,62403,NA,40000,588302,355444,232858,60.95,70.15,50.78,588302,15110,166316,143102,109758,129043,24927,122241,291138,673125,63558,466351,349847,116504,683711,1107,1107,1104,871,936,246,86,33.6,25.6,40.8
Assam,"District Dibrugarh (15), Assam (18)",1185072,613555,571517,12.43,228574,5,931,962,7.45,NA,1075878,NA,53306,NA,45040,698148,406265,291883,68.96,77.3,59.95,698148,17173,166630,148411,130235,193998,41634,114701,286303,717048,67020,472419,342708,129711,712653,1309,1309,1309,1195,1169,382,177,33.6,29.5,36.9
Assam,"District Sibsagar (16), Assam (18)",1051736,545476,506260,15.95,207185,5,928,967,3.95,NA,927706,NA,85761,NA,28488,672158,382936,289222,74.47,81.53,66.81,672158,10554,153864,131634,145992,198390,31707,101065,246805,637480,66386,430523,287319,143204,621213,866,866,861,772,825,464,243,26.9,43.8,29.3
Assam,"District Jorhat (17), Assam (18)",999221,517015,482206,15.84,195691,5,933,967,12.32,NA,927858,NA,47658,NA,18610,660591,375400,285191,76.34,83.62,68.49,660591,17323,150497,126171,123591,201640,41283,89501,231611,615001,63108,414348,285092,129256,584873,787,787,785,650,717,421,268,28.6,42.1,29.2
Assam,"District Golaghat (18), Assam (18)",946279,490286,455993,14.21,181692,5,930,963,9.93,NA,813263,NA,74808,NA,52277,557360,322048,235312,69.38,77.14,60.99,557360,10935,160261,124707,116314,123363,21774,94890,242820,557331,51238,388640,269896,118744,557639,1066,1066,1064,595,769,305,139,15.9,40.5,43.4
Assam,"District Karbi Anglong (19), Assam (18)",813311,422250,391061,22.57,144334,6,926,973,55.69,Hindus,670139,Christians,117738,Muslims,18091,382574,232652,149922,57.7,67.22,47.3,382574,10917,129961,97842,71385,63345,9112,98925,229355,444027,41004,330480,231638,98842,482831,2633,2633,1943,780,1209,392,79,8.2,13.5,78.4
Assam,"District North Cachar Hills (20), Assam (18)",188079,99822,88257,23.47,37294,5,884,955,68.28,Hindus,131492,Christians,50183,Muslims,4662,106354,63610,42744,67.62,75.67,58.39,106354,2577,27696,26167,20031,25701,4126,20887,47952,110469,8771,70199,55031,15168,117880,605,605,473,197,565,164,39,17.6,23.4,59
Assam,"District Cachar (21), Assam (18)",1444921,743042,701879,18.66,273694,5,945,960,1.29,NA,886761,NA,522051,NA,31306,824437,474145,350292,67.82,75.73,59.41,824437,12737,264692,210291,152273,149889,34464,155307,361097,830268,98249,465734,364814,100920,979187,1020,1020,945,741,902,381,155,18.6,28.8,52.6
Assam,"District Karimganj (22), Assam (18)",1007976,517680,490296,21.35,179141,6,947,965,0.29,NA,527214,NA,470708,NA,8746,550119,319205,230914,66.24,74.69,57.28,550119,8988,206569,145859,89941,81460,17096,120430,268874,549498,69174,303294,235016,68278,704682,915,915,908,639,865,347,99,19.2,21,59.7
Assam,"District Hailakandi (23), Assam (18)",542872,280513,262359,20.92,97856,6,935,926,0.15,NA,312849,NA,223191,NA,5424,263547,155674,107873,59.64,68.24,50.46,263547,5089,88603,70326,54660,36681,8151,68971,148309,292595,32997,179881,138216,41665,362991,327,327,308,268,308,206,60,15.9,21.7,62.3
Bihar,"District Pashchim Champaran (01), Bihar (10)",3043466,1600839,1442627,30.4,522728,6,901,953,1.48,Hindus,2373310,Muslims,646597,Others,14304,932347,648173,284174,38.93,51.08,25.23,932347,39777,303277,276791,120739,151304,39728,425415,861361,1567591,189099,1154038,840563,313475,1889428,1355,1355,1355,344,1040,261,58,31.6,16.5,51.9
Bihar,"District Purba Champaran (02), Bihar (10)",3939773,2077047,1862726,29.27,645949,6,897,936,0.12,NA,3181386,NA,755005,NA,1179,1164670,810950,353720,37.54,49.31,24.27,1164670,58363,334285,335027,160904,220305,55742,554100,1126811,2010397,248465,1286843,1025654,261189,2652930,1279,1279,1279,529,1081,348,90,39.9,15.4,44.6
Bihar,"District Sheohar * (03), Bihar (10)",515961,273680,242281,36.16,106808,5,885,916,0.01,Hindus,435121,Muslims,80076,NA,418,144444,98775,45669,35.27,45.28,23.86,144444,13313,38706,41449,18325,26264,6366,70450,145010,261820,38681,161218,133348,27870,354743,189,189,189,43,161,56,14,27,13.6,59.4
Bihar,"District Sitamarhi (04), Bihar (10)",2682720,1417611,1265109,32.58,548321,5,892,924,0.07,Hindus,2111476,Muslims,568992,NA,1237,817711,556936,260775,38.46,49.36,26.13,817711,45072,232998,241271,106199,149796,42252,366890,758084,1379659,178087,855156,714136,141020,1827564,802,802,801,302,709,264,28,38.2,28.2,33.6
Bihar,"District Madhubani (05), Bihar (10)",3575281,1840997,1734284,26.08,656858,5,942,939,0.04,Hindus,2930501,Muslims,641579,NA,1477,1195776,832849,362927,41.97,56.79,26.25,1195776,59231,311450,337265,166293,241046,80377,476534,1018476,1838518,241753,1227723,877412,350311,2347558,1034,1034,1033,437,901,382,119,28.2,10.3,61.5
Bihar,"District Supaul * (06), Bihar (10)",1732578,902207,830371,29.95,308453,6,920,925,0.3,Hindus,1426108,Muslims,302120,Christians,1893,509025,372961,136064,37.28,52.42,20.81,509025,36513,141754,142665,68442,90900,28675,239646,506073,881162,105697,728222,526267,201955,1004356,526,526,525,151,440,187,52,11.8,10,78.2
Bihar,"District Araria (07), Bihar (10)",2158608,1128105,1030503,31.84,415563,5,913,962,1.36,Hindus,1263766,Muslims,887972,Others,2504,589679,411189,178490,35.01,46.38,22.37,589679,56822,170917,169716,72976,90784,26900,312331,640393,1080531,125353,853445,657446,195999,1305163,713,713,711,129,552,162,4,8,17.5,74.5
Bihar,"District Kishanganj (08), Bihar (10)",1296348,669552,626796,31.5,257252,5,936,946,3.63,Muslims,876105,Hindus,412995,Christians,2856,313488,222795,90693,31.09,42.71,18.63,313488,30065,104143,89804,35723,38799,13632,193354,382241,654356,66397,417151,359819,57332,879197,730,730,730,116,442,91,23,10.6,37.3,52.1
Bihar,"District Purnia (09), Bihar (10)",2543942,1328417,1215525,35.23,492491,5,915,967,4.4,Hindus,1584796,Muslims,935239,Others,14224,700070,478689,221381,35.1,45.63,23.42,700070,45607,192055,188455,89717,121468,60584,361499,754557,1286799,141087,960700,782364,178336,1583242,1103,1103,1095,313,676,197,32,10.6,16.9,72.5
Bihar,"District Katihar (10), Bihar (10)",2392638,1246872,1145766,30.91,455376,5,919,966,5.87,Hindus,1363523,Muslims,1017495,Christians,4994,655119,443862,211257,35.09,45.31,23.8,655119,27714,190559,184659,98997,112380,39452,351000,714699,1193641,133298,898326,664259,234067,1494312,1290,1290,1231,277,785,183,56,14.9,36.7,48.4
Bihar,"District Madhepura (11), Bihar (10)",1526646,797180,729466,29.45,267179,6,915,926,0.61,Hindus,1351978,Muslims,173605,NA,494,431480,305330,126150,36.07,48.8,22.11,431480,24076,110975,116785,56748,91201,31536,215748,445170,776706,89022,683976,498367,185609,842670,384,384,383,168,311,195,42,16.3,11.8,71.9
Bihar,"District Saharsa (12), Bihar (10)",1508182,789432,718750,33.03,268453,6,910,911,0.31,Hindus,1289364,Muslims,217922,Christians,437,465577,322163,143414,39.08,51.66,25.27,465577,22822,117503,121342,63340,103110,37268,204535,441898,772277,89472,589467,411566,177901,918715,441,441,441,127,374,178,29,28.7,14.7,56.6
Bihar,"District Darbhanga (13), Bihar (10)",3295789,1722189,1573600,30.85,616636,5,914,914,0.03,Hindus,2543284,Muslims,748971,NA,2245,1167572,780652,386920,44.33,56.72,30.78,1167572,82032,293372,325340,150907,232248,82655,434762,958903,1678660,223464,1028558,761464,267094,2267231,1083,1083,1083,490,850,267,81,47.5,21,31.5
Bihar,"District Muzaffarpur (14), Bihar (10)",3746714,1951466,1795248,26.74,650882,6,920,927,0.09,Hindus,3168225,Muslims,573951,NA,2104,1440954,925975,514979,47.95,59.1,35.81,1440954,89865,377697,375833,184370,271130,138923,502511,1036658,1928996,278549,1139830,895830,244000,2606884,1725,1725,1725,1021,1423,412,104,44.2,13.5,42.3
Bihar,"District Gopalganj (15), Bihar (10)",2152638,1075710,1076928,26.11,320452,7,1001,963,0.29,Hindus,1784275,Muslims,367219,NA,850,816173,538255,277918,47.48,62.96,32.16,816173,23055,251520,226128,128485,158427,28515,282490,648885,1061540,159723,641672,466811,174861,1510966,1383,1383,1383,439,866,189,69,57.9,8.5,33.5
Bihar,"District Siwan (16), Bihar (10)",2714349,1336283,1378066,24.78,383575,7,1031,933,0.51,Hindus,2218632,Muslims,494176,NA,899,1118027,707675,410352,51.65,67.26,36.88,1118027,45266,306968,306275,180106,209847,67645,357430,819014,1319204,218701,730437,511578,218859,1983912,1438,1438,1437,441,1119,287,68,71.5,13.3,15.2
Bihar,"District Saran (17), Bihar (10)",3248701,1652661,1596040,26.37,471446,7,966,949,0.21,Hindus,2909213,Muslims,337767,NA,758,1347610,888812,458798,51.8,67.3,35.82,1347610,44856,342494,360628,220404,317047,62137,420308,971710,1594015,262668,860940,644618,216322,2387761,1566,1566,1566,544,1213,358,49,69.5,18.6,11.9
Bihar,"District Vaishali (18), Bihar (10)",2718421,1415603,1302818,26.39,412669,7,920,937,0.11,Hindus,2457636,Muslims,259158,NA,922,1098151,717734,380417,50.49,63.23,36.58,1098151,42767,289620,290962,160999,260462,53254,361280,778885,1372189,206067,782717,624452,158265,1935704,1414,1414,1414,970,929,294,37,50.2,24,25.8
Bihar,"District Samastipur (19), Bihar (10)",3394793,1760692,1634101,25.63,575523,6,928,937,0.1,Hindus,3035755,Muslims,355897,NA,1432,1211152,802593,408559,45.13,57.59,31.67,1211152,94677,348068,318259,161391,218608,69956,478075,973360,1710480,232878,1071974,843356,228618,2322819,1122,1122,1122,674,878,321,94,54.7,19.8,25.5
