State,District,Population,Males,Females,Growth from1991 to 2001.,Number.of.households,Household.size..per.household.,Sex ratio of females per 1000 males,Sex ratio for age 0-6 years,Percentage.to.total.population..ST.,Religion1.Name,Religion1.Population,Religion2.Name,Religion2.Population,Religion3.Name,Religion3.Population,Population literacy,Male Literacy,Female Literacy,Population Literacy Rate,Male Literacy Rate,Female Literacy Rate,Total People Educated,Data.without.level,Below Primary School,Primary School,Middle School,Population completed 10th Grade,Population Graduates,Age from 0-4 years,Age from 5-14 years,Age from 15-59 years,Age 60 and above,Total Workers,Main.workers,Marginal.workers,Non.workers,Total Inhabited Villages,Drinking water facilities,Safe Drinking water,Electricity Power Supply,Primary school,Middle schools,Secondary Senior schools,PermanentHouse,Semi permanent House,Temporary House
Madhya Pradesh,"District Shahdol (16), Madhya Pradesh (23)",1575303,804988,770315,18.87,322125,5,957,972,44.48,Hindus,1505070,Muslims,53668,Others,7293,767630,480446,287184,58.71,71.8,44.99,767630,40999,226531,216891,124734,118502,39887,182108,402123,886508,104564,681924,453017,228907,893379,1380,1377,1375,1233,1297,291,166,23.2,75.8,0.9
Madhya Pradesh,"District Sidhi (17), Madhya Pradesh (23)",1831152,947830,883322,33.28,333916,5,932,953,29.89,Hindus,1760525,Muslims,58632,Others,6977,759929,508382,251547,52.27,67.36,35.98,759929,43052,282708,183880,109089,108311,31425,255392,540219,914326,121215,757585,544069,213516,1073567,1754,1750,1744,1513,1427,363,195,13.2,84.8,1.9
Madhya Pradesh,"District Neemuch * (18), Madhya Pradesh (23)",726070,372419,353651,21.25,136981,5,950,931,8.51,Hindus,651244,Muslims,56645,Others,14626,403371,257619,145752,66.16,82.53,48.99,403371,10015,136773,118653,58700,57330,21828,80083,173707,416857,55423,348262,282243,66019,377808,674,674,674,669,582,207,39,63.2,34.9,1.9
Madhya Pradesh,"District Mandsaur (19), Madhya Pradesh (23)",1183724,605119,578605,23.67,216671,5,956,945,3.17,Hindus,1054413,Muslims,107010,Others,19519,694046,429667,264379,70.31,85.24,54.73,694046,29663,267830,201202,91746,77417,26142,134713,289725,665618,93668,570329,454507,115822,613395,906,896,896,902,830,224,98,38.8,59.1,2
Madhya Pradesh,"District Ratlam (20), Madhya Pradesh (23)",1215393,620862,594531,24.97,217701,6,958,957,25.89,Hindus,1056199,Muslims,124158,Others,28873,672715,406791,265924,67.17,79.52,54.28,672715,69132,228073,170031,84966,83957,36427,145317,309425,674085,86566,547852,405049,142803,667541,1053,1027,1027,1029,962,243,79,33.6,64.1,2.2
Madhya Pradesh,"District Ujjain (21), Madhya Pradesh (23)",1710982,882871,828111,23.63,298036,6,938,937,3.11,Hindus,1484134,Muslims,191839,Others,24829,1014882,613726,401156,70.86,83.05,57.87,1014882,77652,323692,263266,135370,143351,71378,189458,419064,951616,150844,755288,588377,166911,955694,1096,1084,1083,1096,1040,203,48,43.2,54.2,2.7
Madhya Pradesh,"District Shajapur (22), Madhya Pradesh (23)",1290685,669852,620833,24.87,219796,6,927,935,2.74,Hindus,1132623,Muslims,142569,Others,13536,748357,456982,291375,70.86,83.29,57.42,748357,79478,311722,192607,79001,62864,22546,159993,331675,689926,109091,629791,436444,193347,660894,1068,1064,1062,1061,993,222,81,39.2,59.5,1.3
Madhya Pradesh,"District Dewas (23), Madhya Pradesh (23)",1308223,677866,630357,26.39,226155,6,930,930,16.45,Hindus,1158128,Muslims,137379,Others,6767,656369,422705,233664,60.94,75.74,45.03,656369,20245,220886,184452,102164,98489,30072,157265,346303,700742,103913,580422,429159,151263,727801,1061,1059,1057,1055,944,228,62,42.8,54.1,3.1
Madhya Pradesh,"District Jhabua (24), Madhya Pradesh (23)",1394561,702053,692508,23.56,224588,6,986,973,86.85,Hindus,1330834,Christians,27259,Muslims,26356,396590,259123,137467,36.89,47.97,25.7,396590,59592,152538,83598,41016,42646,17109,221657,417796,681984,73124,732246,487387,244859,662315,1317,1304,1295,1227,1216,336,105,35.8,63.4,0.8
Madhya Pradesh,"District Dhar (25), Madhya Pradesh (23)",1740329,890416,849913,27.29,302701,6,955,943,54.5,Hindus,1632299,Muslims,91485,Others,12397,735243,470857,264386,52.45,65.75,38.57,735243,46530,253090,197874,101520,102712,33387,232371,471230,924049,112679,811415,595586,215829,928914,1473,1467,1454,1434,1312,412,156,40.3,57.9,1.8
Madhya Pradesh,"District Indore (26), Madhya Pradesh (23)",2465827,1289352,1176475,40.82,447478,6,912,908,6.65,Hindus,2066384,Muslims,287121,Others,63037,1575436,926915,648521,75.15,84.6,64.81,1575436,25661,310857,370687,271803,367120,228758,253263,567352,1469787,175425,893669,766796,126873,1572158,625,625,622,624,574,195,66,66.7,31.1,2.2
Madhya Pradesh,"District West Nimar (27), Madhya Pradesh (23)",1529562,784604,744958,27.95,264596,6,949,962,35.48,Hindus,1409370,Muslims,108719,Others,6273,780796,475854,304942,63.05,74.79,50.64,780796,66362,298139,208339,91535,86634,29655,201134,411351,809759,107318,704439,589450,114989,825123,1181,1174,1169,1159,1093,425,154,30.7,66.7,2.6
Madhya Pradesh,"District Barwani * (28), Madhya Pradesh (23)",1081441,548609,532832,29.87,170365,6,971,970,67.02,Hindus,1026644,Muslims,45821,Christians,3636,350354,218053,132301,41.53,50.96,31.82,350354,26415,133509,91173,42023,42096,15095,165669,310876,531986,72910,523750,390220,133530,557691,711,709,694,611,664,218,58,27.1,69.5,3.5
Madhya Pradesh,"District East Nimar (29), Madhya Pradesh (23)",1713134,884966,828168,19.31,306979,6,936,941,29.68,Hindus,1438583,Muslims,241897,Buddhists,17919,866818,534903,331915,61.76,73.73,48.95,866818,25907,355242,239858,99054,107944,38579,213954,453105,922618,123457,752695,628376,124319,960439,1054,1051,1049,1012,995,259,102,32.2,62.7,5.2
Madhya Pradesh,"District Rajgarh (30), Madhya Pradesh (23)",1254085,649106,604979,26.24,216168,6,932,937,3.78,Hindus,1166394,Muslims,83895,Others,1854,548640,365919,182721,53.7,69.14,37.1,548640,34253,210266,148503,71331,62187,21871,157745,327914,660530,107896,625494,438139,187355,628591,1677,1671,1669,1664,1354,249,101,40.9,57.7,1.4
